what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022479359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022509800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022512365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022533796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022538886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326022543254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022547749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022579960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022592648
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1326022594151
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1326022594641
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1326022594812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022595813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022597272
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1326022597729
started,bundle,org.python.pydev.core,2.2.4.2011110216,"org.python.pydev.core",1326022598577
started,bundle,org.python.pydev.debug,2.2.4.2011110216,"org.python.pydev.debug",1326022598616
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326022602945
started,bundle,com.python.pydev.analysis,2.2.4.2011110216,"com.python.pydev.analysis",1326022604099
started,bundle,org.python.pydev,2.2.4.2011110216,"org.python.pydev",1326022604359
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1326022607769
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326022608221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022627012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022644912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022645654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022655327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326022656280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022684360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022686460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022695798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022701372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022736763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1326022753250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022784936
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1326022787275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022795785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326022801386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022808431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326022811051
